Iteration	Posterior	Likelihood	Prior	abs_jacobian	alpha	beta	eta	p	rho	rho_probability_density	sigma	t_half	V	Yr
125	428.6251	425.6495	2.975578	34.33424	0.006466146	-0.03577509	0.01823448	0.8734229	0.761968	1	0.01535623	107.1963	0.01794234	-0.2826347
126	429.4111	426.1132	3.297867	38.04828	0.006082443	-0.02739866	0.0170964	0.8569059	0.7480976	1	0.01442137	113.9587	0.01674634	-0.191473
127	429.2035	425.7275	3.476017	28.50517	0.007196339	-0.004535589	0.01618517	0.8997722	0.7848215	1	0.01526263	96.31942	0.01602258	-0.0452528
128	429.3103	425.653	3.657272	31.54346	0.006792985	-0.0004529529	0.01553957	0.8859796	0.7727251	1	0.01452997	102.0387	0.01533754	-0.003972558
129	429.0415	424.9609	4.080555	24.57472	0.007814678	-0.05693371	0.01390724	0.9177475	0.801191	1	0.01474318	88.69812	0.01381315	-0.6921822
130	426.4376	422.8608	3.57681	19.21436	0.008921246	-0.02234476	0.01575454	0.9422526	0.8252492	1	0.01676605	77.69623	0.01570201	-0.3869393
131	428.7341	424.5537	4.180423	18.16612	0.009189276	-0.04474659	0.01351801	0.9469941	0.8302569	1	0.01576202	75.43001	0.01348003	-0.8441811
132	428.9692	425.0182	3.951011	29.81374	0.007015797	-0.0486356	0.01448408	0.8938179	0.7795582	1	0.01425604	98.79806	0.01432078	-0.4580393
133	428.6635	425.3416	3.321879	28.40295	0.007210916	-0.05140102	0.01679024	0.9002381	0.7852363	1	0.01556104	96.1247	0.01662314	-0.5152372
134	429.2464	425.6938	3.552563	25.94917	0.0075839	-0.02569836	0.01592548	0.9114505	0.7953631	1	0.01554202	91.39719	0.0158006	-0.2902146
135	426.3115	423.1405	3.17095	24.32282	0.007858908	-0.0534963	0.01728555	0.9189022	0.8022724	1	0.01648305	88.19891	0.01717186	-0.6596519
136	428.1355	424.6299	3.505583	39.80761	0.005917615	-0.05818447	0.01629531	0.8491645	0.7416826	1	0.01388736	117.1329	0.01592457	-0.3857479
137	425.934	421.5893	4.344786	29.06978	0.007117088	-0.05818447	0.01297359	0.8972007	0.7825402	1	0.01358927	97.39196	0.01283649	-0.5660008
138	429.4261	426.1588	3.267314	37.58576	0.006127456	-0.03255798	0.01720321	0.8589501	0.7497998	1	0.01451977	113.1215	0.01686095	-0.2308259
139	428.0819	424.4057	3.676189	23.41937	0.008022904	-0.06998182	0.01531656	0.923044	0.8061865	1	0.01567694	86.39605	0.01522585	-0.909374
