species,log10_carL,log10_cheL,log10_cheW,log10_cheD
BUTH_Androctonus_ishtar,0.998045860685217,1.2208379397629745,0.5673278223760211,0.627871418953874
BUTH_Androctonus_liouvillei,0.9542425094393248,1.1721961368425553,0.5909217939723863,0.6134363717504795
BUTH_Androctonus_mauritanicus,0.9540437931043456,1.185560780760838,0.6087607258042037,0.6720978579357175
BUTH_Androctonus_sergenti,0.9236679960388262,1.1579645918161865,0.3555879089836312,0.35116356034278223
BUTH_Anomalobuthus_rickmersi,0.5330647522179898,0.6720490477184984,-0.1051263406576774,-0.1168072569599168
BUTH_Apistobuthus_pterygocercus,1.0187004986662431,1.3600101534655629,0.5023498021125274,0.5780200280881092
BUTH_Apistobuthus_susanae,1.0065852037698395,1.343754001307301,0.5473112649175771,0.6275767673870324
BUTH_Babycurus_gigas,1.0028522467140366,1.2557882903468045,0.6695688678151028,0.6765063241808733
BUTH_Barbaracurus_sofomarensis,0.6298997967169783,0.8403654073258241,0.2710746443853888,0.2519297103987986
BUTH_Barbaracurus_zambonellii,0.6689167459011558,0.89889336069248,0.3157117372021634,0.2955323035132496
BUTH_Buthacus_amitaii,0.7103181155110595,0.8872737698814315,0.26205133210877124,0.295264280848473
BUTH_Buthacus_arava,0.8159704600515342,0.993019538552761,0.45502777605624184,0.4940547142566854
BUTH_Buthacus_arenicola,0.7677862488785382,0.9504687199919089,0.23942576038720784,0.2822935257419419
BUTH_Buthacus_leptochelys,0.8125632383833268,1.0108475353301063,0.2720174524423258,0.32360124699710574
BUTH_Buthacus_levyi,0.71526406870042325,0.9128701139974306,0.1728947496019641,0.22743273697894323
BUTH_Buthacus_macrocentrus,0.8125632383833268,1.0108475353301063,0.2720174524423258,0.32360124699710574
BUTH_Buthacus_nitzani,0.6912975783990535,0.8673544089031036,0.221653522052732,0.2618684873652673
BUTH_Buthacus_stockmanni,0.7739642325817568,0.954483650209194,0.36478486315098496,0.3624450014190182
BUTH_Buthacus_yotvatensis,0.8253658182799454,1.0093462124802328,0.2548700336194424,0.29941062567155435
BUTH_Butheolus_harrisoni,0.564298074002563,0.6739675815791709,1.87852164090104e-4,0.02895457108874543
BUTH_Buthoscorpio_sarasinorum,0.6720978579357175,0.8512583487190752,0.2041199826559248,0.25527250510330607
BUTH_Buthus_atlantis,0.9515449934959718,1.18039134493664,0.5880456295278407,0.6153425596079946
BUTH_Buthus_awashensis,0.7719099025713289,0.990954585045396,0.3850576473935508,0.4038333406078833
BUTH_Buthus_bonito,0.7993405494535817,1.021189299069938,0.380211241711606,0.380211241711606
BUTH_Buthus_boumalenii,0.8444487305855489,1.0736292602996729,0.4447068820213544,0.4776249342662642
BUTH_Buthus_delafuentei,0.9125017740963622,1.1944002281111057,0.5809206466465217,0.6319101413485722
BUTH_Buthus_draa,0.9466311429439958,1.1355256307461734,0.5292130122285027,0.5672479279173368
BUTH_Buthus_elmoutaouakili,0.8195439355418687,1.0128372247051722,0.3617278360175928,0.3617278360175928
BUTH_Buthus_elongatus,0.884704904974009,1.171780846729533,0.4520974142481341,0.48042520447708986
BUTH_Buthus_garcialorcai,0.8624159458862882,1.1238405740255475,0.4487826521000424,0.4937671447063302
BUTH_Buthus_halius,0.8725116734914907,1.1657736996644923,0.5379857040852084,0.5839591199780438
BUTH_Buthus_iaspis,0.8886513965787209,1.169377774122955,0.4991195186924659,0.5455431898529544
BUTH_Buthus_ibericus,0.8575107374443824,1.144025364283365,0.5099006214780972,0.5572544674484483
BUTH_Buthus_lienhardi,0.8501787639113301,1.092969294913294,0.4771212547196624,0.5134708139795147
BUTH_Buthus_manchego,0.8638314196827686,1.1443425974832184,0.46024994981695183,0.5161152677924145
